# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 -0.01978 -0.00099 -0.00000 0.00035 -0.00703 0.00000 -5.8843e-18 -1.7519e-18 6.0000e-01 -5.6379e-18 1.3010e-18 2.7255e-01 0.42746 0.44559 0.45425 0.00000 0.00000 -0.00000 8.17650e-02 1.30611e-30 -5.3385179146e-01 -4.5208678427e-01 4.1047365717e-32 
10.002 0.01677 0.01042 -0.00002 -0.00359 0.00611 0.00007 -1.4287e-04 2.1438e-04 6.0140e-01 -8.9207e-05 1.1250e-04 2.7248e-01 0.42561 0.44129 0.45309 0.00459 0.00003 -0.00005 8.19353e-02 6.60225e-04 -5.3536709698e-01 -4.5277162086e-01 9.4331732938e-10 
20.000 -0.00999 -0.01647 -0.00013 0.00616 -0.00396 -0.00003 3.4056e-05 2.1055e-04 6.0118e-01 -7.9252e-06 1.1661e-04 2.7239e-01 0.42910 0.43780 0.45308 0.00797 0.00004 -0.00004 8.18769e-02 6.60295e-04 -5.3536763726e-01 -4.5283043638e-01 8.3626266398e-10 
30.000 0.00422 0.01912 0.00013 -0.00704 0.00124 -0.00005 3.3667e-04 9.5332e-05 6.0140e-01 1.2607e-04 7.2460e-05 2.7249e-01 0.43381 0.43309 0.45309 0.00908 0.00005 -0.00003 8.19376e-02 6.60072e-04 -5.3536667234e-01 -4.5276901859e-01 1.0544593790e-09 
40.002 0.00642 -0.01953 -0.00002 0.00645 0.00206 0.00004 2.1236e-04 1.0131e-07 6.0158e-01 7.6015e-05 3.2159e-05 2.7257e-01 0.43840 0.42850 0.45309 0.00764 0.00005 -0.00003 8.19871e-02 6.59820e-04 -5.3536631075e-01 -4.5271941213e-01 9.5960670976e-10 
50.002 -0.01310 0.01430 0.00004 -0.00526 -0.00487 0.00000 -3.4218e-05 -6.4245e-05 6.0161e-01 -2.9641e-05 8.7489e-06 2.7258e-01 0.44160 0.42530 0.45309 0.00404 0.00006 -0.00002 8.19941e-02 6.60065e-04 -5.3536621805e-01 -4.5271201972e-01 9.8403328990e-10 
60.002 0.01908 -0.00550 -0.00022 0.00210 0.00674 0.00003 -2.7500e-04 1.5109e-04 6.0132e-01 -1.3524e-04 1.0953e-04 2.7245e-01 0.44250 0.42440 0.45309 -0.00071 0.00008 -0.00002 8.19152e-02 6.60177e-04 -5.3536706221e-01 -4.5279164431e-01 9.3633003941e-10 
70.002 -0.01875 -0.00246 0.00006 0.00107 -0.00739 -0.00007 -1.2022e-04 1.9072e-04 6.0119e-01 -5.8355e-05 1.2415e-04 2.7239e-01 0.44086 0.42604 0.45308 -0.00525 0.00007 -0.00001 8.18785e-02 6.60273e-04 -5.3536730312e-01 -4.5282850087e-01 8.3834676041e-10 
80.000 0.01882 0.00882 0.00008 -0.00314 0.00596 0.00004 2.5275e-05 1.3703e-04 6.0138e-01 1.3344e-05 9.9997e-05 2.7248e-01 0.43709 0.42981 0.45309 -0.00834 0.00007 0.00001 8.19304e-02 6.60046e-04 -5.3536701249e-01 -4.5277654996e-01 9.1095318203e-10 
90.000 -0.01035 -0.01708 -0.00005 0.00577 -0.00397 -0.00001 -1.1580e-05 2.5179e-05 6.0149e-01 -1.7284e-06 4.4865e-05 2.7253e-01 0.43230 0.43460 0.45309 -0.00903 0.00006 0.00001 8.19610e-02 6.60191e-04 -5.3536689815e-01 -4.5274567923e-01 1.0116678001e-09 
100.000 0.00519 0.01876 0.00006 -0.00695 0.00170 0.00005 -2.1601e-04 9.4556e-05 6.0156e-01 -9.2172e-05 7.1950e-05 2.7256e-01 0.42785 0.43905 0.45309 -0.00716 0.00005 0.00000 8.19806e-02 6.60056e-04 -5.3536635938e-01 -4.5272570551e-01 1.0135936174e-09 
110.000 0.00757 -0.01863 -0.00039 0.00657 0.00235 -0.00007 -5.3535e-04 3.7509e-04 6.0133e-01 -2.3229e-04 2.0012e-04 2.7246e-01 0.42498 0.44192 0.45309 -0.00326 0.00005 -0.00001 8.19181e-02 6.60081e-04 -5.3536686853e-01 -4.5278864991e-01 9.4025531941e-10 
120.000 -0.01125 0.01526 0.00032 -0.00572 -0.00474 -0.00001 -3.3578e-04 3.7543e-04 6.0129e-01 -1.4667e-04 1.9715e-04 2.7244e-01 0.42449 0.44240 0.45309 0.00155 0.00005 -0.00001 8.19077e-02 6.60156e-04 -5.3536673112e-01 -4.5279887343e-01 9.0189565906e-10 
130.000 0.01877 -0.01161 -0.00027 0.00331 0.00543 0.00004 -2.2365e-04 3.3395e-04 6.0128e-01 -9.5434e-05 1.7783e-04 2.7243e-01 0.42657 0.44033 0.45308 0.00595 0.00005 -0.00000 8.19025e-02 6.60027e-04 -5.3536732992e-01 -4.5280480839e-01 7.8084351788e-10 
