# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 2.72386 0.13631 0.00000 -0.02751 0.54979 0.00000 3.2864e-18 3.7839e-19 2.0000e-01 5.7598e-20 -1.5247e-19 3.0231e-03 0.00763 0.01254 0.01512 0.00000 -0.00000 0.00000 3.02309e-04 7.33953e-31 -1.0209971275e-02 -9.9076627556e-03 1.1041369221e-32 
10.000 -1.48366 2.06491 0.00036 -0.46883 -0.35956 -0.00037 4.8814e-04 -1.3094e-04 2.2311e-01 4.5801e-06 1.6864e-06 3.3650e-03 0.01131 0.00880 0.01508 0.00211 0.00001 -0.00000 3.75390e-04 1.47180e-03 -1.0222880590e-02 -8.3756937465e-03 6.5474859182e-07 
20.000 -0.22211 -2.49316 0.00174 0.59826 -0.07261 -0.00086 -1.5598e-03 9.1429e-04 2.7106e-01 -1.8634e-05 6.7174e-06 4.0890e-03 0.01244 0.00768 0.01509 -0.00061 -0.00000 0.00000 5.54197e-04 1.42624e-03 -1.0222334150e-02 -8.2418946483e-03 9.6519246169e-08 
30.000 2.26370 1.41441 0.00051 -0.29971 0.48066 0.00010 2.4812e-04 -3.5232e-04 2.0814e-01 2.4803e-06 1.3302e-06 3.1382e-03 0.01020 0.00992 0.01508 -0.00245 0.00003 -0.00000 3.26595e-04 1.43367e-03 -1.0223487692e-02 -8.4632253822e-03 6.9034692924e-08 
40.005 -2.36677 1.10711 0.00226 -0.22792 -0.53105 0.00023 -3.9515e-04 -7.9322e-04 1.6732e-01 -7.0720e-06 -1.4560e-05 2.5230e-03 0.00912 0.01099 0.01508 0.00227 -0.00003 -0.00001 2.11081e-04 1.46495e-03 -1.0223536457e-02 -8.5475041740e-03 1.0661081755e-07 
50.005 0.70941 -2.45226 0.00143 0.55994 0.15991 -0.00019 -1.1002e-03 -1.6201e-03 2.8666e-01 -1.1142e-05 -2.0914e-05 4.3249e-03 0.01250 0.00762 0.01509 0.00030 -0.00003 0.00001 6.19914e-04 1.48935e-03 -1.0221991821e-02 -8.1127242570e-03 1.1794504169e-07 
60.005 1.31612 2.18163 0.00114 -0.49874 0.31617 0.00017 -8.0951e-04 1.9452e-04 2.4135e-01 -1.0794e-05 6.5786e-07 3.6400e-03 0.01223 0.00788 0.01508 -0.00113 -0.00001 -0.00000 4.39267e-04 1.44675e-03 -1.0222884538e-02 -8.3368673250e-03 1.1301593032e-07 
70.005 -2.62428 -0.34036 0.00173 0.06181 -0.57180 0.00006 8.3055e-04 -7.5570e-04 1.5988e-01 6.9628e-06 -1.2799e-05 2.4105e-03 0.00762 0.01250 0.01508 -0.00024 -0.00002 0.00000 1.92705e-04 1.42044e-03 -1.0223801293e-02 -8.6106518650e-03 4.9416923306e-08 
80.005 1.64841 -2.04924 0.00065 0.43402 0.37518 0.00026 -2.9609e-05 -8.4767e-04 2.4350e-01 5.6878e-06 -1.1627e-05 3.6722e-03 0.01154 0.00857 0.01508 0.00195 -0.00002 0.00003 4.47084e-04 1.42691e-03 -1.0222912512e-02 -8.3489231193e-03 6.8895280591e-08 
90.005 0.33445 2.44429 0.00065 -0.60138 0.07139 0.00108 -2.2196e-03 6.1597e-04 2.5879e-01 -3.0715e-05 2.2824e-06 3.9041e-03 0.01250 0.00761 0.01509 -0.00023 -0.00001 -0.00001 5.05197e-04 1.47242e-03 -1.0222282952e-02 -8.2446654176e-03 1.4032019020e-07 
100.005 -2.08873 -1.61440 0.00069 0.32569 -0.46684 -0.00081 -2.3947e-04 1.5553e-03 2.1435e-01 -1.0423e-06 2.3170e-05 3.2326e-03 0.00968 0.01043 0.01508 -0.00242 0.00003 0.00002 3.46477e-04 1.46262e-03 -1.0223094712e-02 -8.4139991560e-03 8.9239113972e-08 
110.005 2.46317 -1.07221 -0.00078 0.21396 0.52019 -0.00030 5.1864e-04 5.8171e-05 1.9355e-01 1.2512e-05 -1.8480e-06 2.9185e-03 0.00840 0.01172 0.01508 0.00180 -0.00002 0.00004 2.82443e-04 1.43167e-03 -1.0223474422e-02 -8.5093652489e-03 7.2579993744e-08 
120.005 -0.69235 2.38145 0.00259 -0.58321 -0.18003 -0.00027 8.1865e-04 -1.1508e-03 2.3543e-01 9.0653e-06 -1.2288e-05 3.5508e-03 0.01248 0.00764 0.01508 0.00041 -0.00002 -0.00000 4.17997e-04 1.40777e-03 -1.0222815200e-02 -8.3970532140e-03 6.7572621947e-08 
130.005 -1.18692 -2.28915 0.00174 0.51148 -0.27512 -0.00034 -2.7088e-03 3.3132e-04 2.7587e-01 -3.3252e-05 -4.2042e-06 4.1614e-03 0.01194 0.00818 0.01508 -0.00158 -0.00004 -0.00000 5.74048e-04 1.43782e-03 -1.0222351739e-02 -8.2104868493e-03 1.0761105814e-07 
140.005 2.63815 0.33915 -0.00006 -0.07552 0.56037 0.00045 -6.2475e-04 2.7759e-03 1.7192e-01 -1.5908e-05 3.7685e-05 2.5922e-03 0.00814 0.01198 0.01508 -0.00152 0.00002 -0.00004 2.22885e-04 1.46584e-03 -1.0223616693e-02 -8.5348873914e-03 1.0347233889e-07 
150.005 -1.77325 1.90417 0.00304 -0.42327 -0.39334 -0.00011 1.2589e-03 2.5631e-03 1.9914e-01 1.7443e-05 3.2508e-05 3.0028e-03 0.01172 0.00839 0.01508 0.00180 0.00004 -0.00001 2.99038e-04 1.45255e-03 -1.0223394669e-02 -8.4718080118e-03 1.1083689064e-07 
160.005 -0.29871 -2.51660 0.00074 0.58835 -0.07004 -0.00013 2.7400e-03 -1.0214e-06 2.9805e-01 3.4188e-05 -1.3861e-05 4.4966e-03 0.01245 0.00767 0.01509 -0.00055 -0.00004 0.00000 6.70140e-04 1.41258e-03 -1.0221966080e-02 -8.1392412703e-03 8.3301261758e-08 
170.005 2.02034 1.55162 0.00060 -0.35497 0.47777 0.00077 -1.6029e-03 -2.3116e-03 1.9518e-01 -2.4904e-05 -2.2201e-05 2.9430e-03 0.01050 0.00961 0.01508 -0.00241 -0.00002 -0.00007 2.87257e-04 1.41010e-03 -1.0223451135e-02 -8.5260981398e-03 7.1165170034e-08 
180.005 -2.57282 0.81791 0.00247 -0.16847 -0.53242 0.00013 -1.7992e-03 4.5259e-04 1.8874e-01 -3.0885e-05 -2.1489e-06 2.8456e-03 0.00869 0.01142 0.01508 0.00204 -0.00002 -0.00009 2.68564e-04 1.43589e-03 -1.0223512233e-02 -8.5190621877e-03 7.8217440651e-08 
190.005 0.64767 -2.48649 -0.00172 0.55549 0.17132 0.00033 1.6699e-03 -9.7133e-05 2.5370e-01 2.1164e-05 1.8926e-05 3.8269e-03 0.01238 0.00774 0.01508 0.00081 0.00007 0.00000 4.85468e-04 1.46351e-03 -1.0222448568e-02 -8.2734732605e-03 9.5813637569e-08 
200.005 1.08921 2.22648 0.00186 -0.53471 0.28796 -0.00093 4.1494e-03 -1.5203e-03 2.4749e-01 6.0659e-05 -2.4661e-05 3.7332e-03 0.01167 0.00844 0.01508 -0.00185 -0.00002 0.00004 4.62103e-04 1.42073e-03 -1.0222517930e-02 -8.3396820376e-03 1.0947493546e-07 
210.005 -2.63476 -0.56556 0.00149 0.10671 -0.55177 -0.00043 1.7075e-03 -1.7237e-03 2.1059e-01 8.5430e-06 -2.6143e-05 3.1752e-03 0.00811 0.01201 0.01508 -0.00148 -0.00001 -0.00004 3.34363e-04 1.39622e-03 -1.0223404404e-02 -8.4928183567e-03 4.4552473689e-08 
220.005 1.74312 -1.94834 -0.00034 0.41339 0.40731 0.00008 -2.7657e-03 2.4561e-04 1.8132e-01 -2.5554e-05 8.0607e-07 2.7338e-03 0.01063 0.00948 0.01508 0.00238 0.00003 0.00002 2.47877e-04 1.40663e-03 -1.0223512973e-02 -8.5690028398e-03 8.2175699121e-08 
230.005 0.16067 2.50669 0.00391 -0.59119 0.03939 0.00020 8.8256e-04 2.4168e-03 2.7440e-01 -2.2218e-06 3.6335e-05 4.1396e-03 0.01214 0.00798 0.01509 -0.00131 0.00007 -0.00004 5.67990e-04 1.45869e-03 -1.0222074114e-02 -8.1953990482e-03 1.5553122921e-07 
240.005 -2.03621 -1.62171 -0.00001 0.34667 -0.45919 -0.00025 1.2370e-05 -2.5131e-03 2.5127e-01 1.3446e-05 -1.0298e-05 3.7896e-03 0.01091 0.00921 0.01508 -0.00230 0.00005 0.00003 4.76123e-04 1.43477e-03 -1.0222755062e-02 -8.3118659862e-03 1.1050493106e-07 
250.005 2.53292 -0.72193 0.00130 0.16392 0.55384 0.00032 6.4391e-04 -4.6390e-04 1.4957e-01 3.4046e-06 -1.1826e-05 2.2549e-03 0.00798 0.01213 0.01508 0.00130 -0.00005 -0.00001 1.68633e-04 1.39922e-03 -1.0223838246e-02 -8.6559813946e-03 6.6769928707e-08 
260.005 -0.85410 2.45496 0.00266 -0.54533 -0.20052 0.00007 -1.6061e-03 -1.5250e-03 2.4337e-01 -1.2391e-05 4.1347e-06 3.6698e-03 0.01251 0.00761 0.01508 0.00005 0.00007 0.00003 4.46558e-04 1.39216e-03 -1.0222970298e-02 -8.3842529128e-03 5.6350358617e-08 
270.005 -1.22251 -2.18252 -0.00146 0.52835 -0.27988 0.00076 1.8032e-03 3.4996e-03 2.7475e-01 2.7634e-05 2.6189e-05 4.1448e-03 0.01198 0.00814 0.01509 -0.00153 0.00000 0.00004 5.69469e-04 1.42820e-03 -1.0222254081e-02 -8.2245853226e-03 1.1652495674e-07 
280.005 2.51487 0.70994 0.00148 -0.13278 0.56012 -0.00007 3.5200e-04 -1.0006e-03 1.8627e-01 2.2680e-06 1.6439e-06 2.8085e-03 0.00812 0.01199 0.01508 -0.00151 0.00008 -0.00001 2.61572e-04 1.44132e-03 -1.0223319797e-02 -8.5204323004e-03 8.4730325634e-08 
290.005 -1.94277 1.87561 0.00077 -0.38387 -0.40553 -0.00069 -1.2413e-03 1.7003e-03 2.0851e-01 -1.2565e-05 1.8874e-06 3.1438e-03 0.01065 0.00947 0.01508 0.00238 -0.00005 -0.00002 3.27767e-04 1.40584e-03 -1.0223355680e-02 -8.4897535131e-03 7.2188696707e-08 
300.005 -0.27972 -2.46412 0.00072 0.60787 -0.05173 -0.00035 -1.9595e-03 -2.5270e-03 2.4445e-01 -3.0517e-05 -1.8703e-05 3.6871e-03 0.01236 0.00776 0.01508 -0.00086 -0.00000 -0.00003 4.50705e-04 1.38001e-03 -1.0222657123e-02 -8.3919390159e-03 6.8496335492e-08 
310.005 1.88426 1.73963 0.00373 -0.38426 0.44093 -0.00001 -1.0582e-03 -1.2051e-03 2.5456e-01 4.8269e-06 -1.0969e-05 3.8395e-03 0.01014 0.00998 0.01508 -0.00245 -0.00001 0.00005 4.88687e-04 1.41299e-03 -1.0222561227e-02 -8.3208830058e-03 1.1059999020e-07 
320.005 -2.61469 0.68588 -0.00124 -0.13650 -0.53850 -0.00021 3.1362e-03 -1.2624e-03 1.9073e-01 2.0717e-05 -2.2585e-05 2.8758e-03 0.00764 0.01247 0.01508 0.00042 -0.00004 -0.00001 2.74303e-04 1.43461e-03 -1.0223467356e-02 -8.5145518561e-03 8.8839181988e-08 
330.005 0.88281 -2.40677 0.00162 0.54941 0.20753 0.00050 -1.6856e-03 -3.5830e-04 1.9380e-01 -3.8422e-06 -8.5774e-06 2.9217e-03 0.01246 0.00766 0.01508 0.00050 -0.00003 0.00009 2.83117e-04 1.41969e-03 -1.0223322562e-02 -8.5205118244e-03 1.1999094697e-07 
340.005 1.09496 2.28139 0.00336 -0.53168 0.26571 -0.00011 -1.5693e-04 5.0716e-03 2.9720e-01 -2.8922e-05 4.4728e-05 4.4836e-03 0.01139 0.00874 0.01509 -0.00207 0.00000 -0.00006 6.66383e-04 1.37808e-03 -1.0222001420e-02 -8.1775435986e-03 6.5953962617e-08 
350.005 -2.50641 -0.65427 -0.00133 0.14681 -0.56508 0.00032 -1.7207e-03 8.4933e-04 2.0169e-01 -7.9071e-06 3.4222e-05 3.0405e-03 0.00903 0.01109 0.01508 -0.00222 0.00010 0.00005 3.06640e-04 1.39025e-03 -1.0223518530e-02 -8.5266273880e-03 7.9133463913e-08 
360.005 2.04189 -1.70084 0.00259 0.36139 0.43687 0.00086 4.0661e-03 2.3140e-03 1.6968e-01 4.7594e-05 1.3928e-05 2.5576e-03 0.01066 0.00946 0.01508 0.00238 -0.00010 -0.00001 2.17097e-04 1.42199e-03 -1.0223597131e-02 -8.5845060430e-03 9.0212686119e-08 
370.005 0.23748 2.57320 -0.00061 -0.57583 0.04063 -0.00097 1.8905e-03 -6.8866e-03 2.7470e-01 4.4919e-05 -6.3957e-05 4.1439e-03 0.01220 0.00793 0.01508 -0.00121 -0.00003 0.00005 5.69424e-04 1.42334e-03 -1.0222258654e-02 -8.2294988652e-03 9.8877186914e-08 
380.005 -1.87152 -1.62378 -0.00016 0.39033 -0.46873 -0.00035 3.1195e-04 2.8255e-03 2.3850e-01 -2.9034e-06 -5.1153e-06 3.5958e-03 0.01053 0.00959 0.01508 -0.00241 -0.00013 0.00000 4.28787e-04 1.37507e-03 -1.0222763611e-02 -8.4189077525e-03 8.2387758460e-08 
390.005 2.65254 -0.41167 0.00391 0.09921 0.55544 0.00008 3.9581e-04 1.6737e-04 1.9415e-01 -5.4363e-06 2.8476e-05 2.9261e-03 0.00775 0.01237 0.01507 0.00083 0.00013 -0.00004 2.84059e-04 1.37613e-03 -1.0223508899e-02 -8.5633244125e-03 6.3132256106e-08 
400.005 -0.88494 2.49544 0.00052 -0.52518 -0.21818 -0.00043 -8.3777e-04 6.5003e-03 2.1164e-01 -8.1966e-06 5.3670e-05 3.1917e-03 0.01216 0.00796 0.01508 0.00127 0.00001 -0.00003 3.37921e-04 1.40456e-03 -1.0223153118e-02 -8.4806727338e-03 9.5395086644e-08 
410.005 -1.06218 -2.23524 0.00212 0.54019 -0.26671 0.00072 1.4206e-03 -2.8943e-03 2.5813e-01 2.5488e-06 -1.9821e-05 3.8934e-03 0.01108 0.00904 0.01508 -0.00224 0.00004 -0.00008 5.02531e-04 1.42998e-03 -1.0222203877e-02 -8.2896923829e-03 1.3998045813e-07 
420.005 2.48672 0.83239 0.00170 -0.16124 0.55224 -0.00061 -5.0904e-03 -4.5236e-03 2.4717e-01 -3.0722e-05 -4.6842e-05 3.7277e-03 0.00875 0.01136 0.01508 -0.00208 -0.00002 0.00002 4.60869e-04 1.37469e-03 -1.0222872917e-02 -8.3873168397e-03 7.1380864783e-08 
430.005 -2.03344 1.69984 -0.00128 -0.35978 -0.44735 0.00042 1.8454e-03 -3.7511e-03 1.6135e-01 -1.5095e-05 -4.5374e-05 2.4312e-03 0.00927 0.01085 0.01507 0.00232 -0.00006 -0.00015 1.96206e-04 1.36605e-03 -1.0223814203e-02 -8.6615609018e-03 4.7329715785e-08 
440.005 -0.08567 -2.55134 0.00185 0.58844 -0.00737 0.00103 -2.8739e-03 5.4532e-04 2.3555e-01 8.7720e-06 1.8756e-05 3.5493e-03 0.01190 0.00823 0.01507 -0.00163 0.00004 0.00019 4.18012e-04 1.39632e-03 -1.0222879935e-02 -8.4085452835e-03 1.0077690330e-07 
