# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
400.002 -0.13412 -2.06216 -0.05900 0.67698 -0.00779 -0.00582 1.3026e-02 -1.2839e-01 3.1382e-01 4.6604e-06 -2.5907e-05 8.6392e-05 0.00022 0.00017 0.00027 0.00001 -0.00001 0.00001 1.52493e-05 6.59875e-04 -2.2826673151e-04 4.4685738848e-04 9.3175536582e-10 
410.002 -0.93960 1.83729 0.05905 -0.61760 -0.27875 -0.00671 -9.4177e-02 -1.2415e-02 4.2993e-01 -1.5481e-05 2.0741e-06 1.1265e-04 0.00022 0.00018 0.00027 0.00002 0.00001 0.00001 2.49326e-05 6.60012e-04 -2.2825983513e-04 4.5668489421e-04 9.0967234004e-10 
420.002 1.29664 -1.39428 -0.03876 0.53720 0.50932 0.01221 -4.8323e-03 1.2691e-01 2.6551e-01 6.2376e-06 2.6998e-05 7.1958e-05 0.00020 0.00020 0.00027 0.00003 0.00001 0.00001 1.12508e-05 6.60521e-04 -2.2826682571e-04 4.4350490605e-04 9.4672174736e-10 
430.002 -1.87354 0.66156 0.02909 -0.23285 -0.66920 -0.01646 -1.9970e-02 -4.6753e-02 4.0576e-01 3.1887e-06 -2.1120e-05 1.0404e-04 0.00017 0.00023 0.00025 0.00000 -0.00002 0.00002 2.15703e-05 6.60182e-04 -2.2826391190e-04 4.5348852332e-04 7.9041509058e-10 
440.002 1.92040 0.19266 -0.00945 -0.07942 0.72104 0.02653 2.2082e-02 -4.1533e-02 3.5290e-01 -3.7280e-06 -1.8166e-05 8.8591e-05 0.00017 0.00024 0.00025 0.00001 -0.00002 -0.00002 1.59679e-05 6.60341e-04 -2.2826597128e-04 4.4804280154e-04 1.0264064212e-09 
450.002 -1.80879 -1.02475 -0.03183 0.33270 -0.58437 -0.02729 3.4731e-02 1.2405e-01 3.0062e-01 -2.2678e-06 2.8710e-05 7.9203e-05 0.00020 0.00020 0.00026 -0.00003 0.00002 -0.00002 1.36462e-05 6.60029e-04 -2.2826747195e-04 4.4540789543e-04 9.5379548159e-10 
460.002 1.15371 1.61250 0.05616 -0.55999 0.42581 0.01537 7.4661e-02 -8.1487e-02 4.3484e-01 1.6116e-05 -8.9076e-06 1.1195e-04 0.00019 0.00021 0.00026 -0.00003 0.00002 -0.00000 2.53048e-05 6.60086e-04 -2.2826100167e-04 4.5712956981e-04 9.6548701432e-10 
470.002 -0.40994 -1.89705 -0.04628 0.70890 -0.15403 -0.00587 -3.7031e-02 -1.8659e-01 2.6675e-01 -1.0744e-05 -3.6413e-05 7.4981e-05 0.00022 0.00017 0.00027 0.00000 -0.00002 -0.00001 1.35966e-05 6.60318e-04 -2.2826668941e-04 4.4564802499e-04 9.4056120473e-10 
480.002 -0.32833 1.94334 0.06621 -0.69962 -0.14185 -0.00056 -1.1676e-01 5.6095e-03 4.0034e-01 -1.8579e-05 4.7487e-06 9.8197e-05 0.00023 0.00018 0.00025 0.00002 0.00002 0.00002 2.07541e-05 6.60091e-04 -2.2826235403e-04 4.5258315712e-04 8.6764954222e-10 
490.002 1.14114 -1.64045 -0.07103 0.56956 0.40730 0.01502 4.8445e-02 1.6193e-01 3.4267e-01 1.3995e-05 2.7358e-05 9.2026e-05 0.00021 0.00018 0.00027 0.00002 -0.00001 0.00000 1.83212e-05 6.60266e-04 -2.2826358458e-04 4.5032378295e-04 9.8158526285e-10 
